,Token,Distance,Model,Color,Price,Motor,Body,Structure,Insurance
1762,AZUi0EZG,۳۸٬۰۰۰,۱۳۹۸,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
1763,AZUi5R9i,۳۰۰٬۰۰۰,۱۳۸۱,سرمه‌ای,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
1764,AZUiCL3e,۱۹۰٬۰۰۰,۱۳۸۰,مشکی,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
1765,AZUiGOCE,۲۰۴٬۰۰۰,۱۳۸۹,گیلاسی,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1766,AZUiRsKR,۱۲۰٬۰۰۰,۱۳۹۶,سفید,۳۶۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
1767,AZUiZBIc,۵۲٬۰۰۰,۱۳۹۸,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
1768,AZUiqM_8,۲۳٬۰۰۰,۱۴۰۱,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۱ ناحیه,سالم و پلمپ,۱۰ ماه
1769,AZUiyRwo,۱۹۰٬۰۰۰,۱۳۹۶,سفید,۳۶۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱ ماه
1770,AZUmVTFj,۲۵۰٬۰۰۰,۱۳۸۶,سرمه‌ای,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1771,AZUmxcVJ,۲۰۰٬۰۰۰,۱۳۸۸,نوک‌مدادی,۲۱۰٬۰۰۰٬۰۰۰ تومان,,تمام‌رنگ,,
1772,AZUqByvf,۹۶٬۰۰۰,۱۳۹۶,سفید صدفی,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1773,AZUqXnvv,۴۰٬۰۰۰,۱۳۸۱,سفید,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
1774,AZUu4z1f,۱۵۰٬۰۰۰,۱۳۸۹,سفید,۱۹۸٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,دوررنگ,سالم و پلمپ,۶ ماه
1775,AZUuB3pQ,۱۸۰٬۰۰۰,۱۳۸۲,آلبالویی,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱ ماه
1776,AZUuE0te,۱۳۷٬۰۰۰,۱۳۹۷,سفید,۳۷۴٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1777,AZUuW3p7,۳۲۰٬۰۰۰,۱۳۸۱,مشکی,۱۸۹٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
1778,AZUuXY6M,۲۴۱٬۴۰۰,۱۳۸۶,نقره‌ای,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
1779,AZUuyJbo,۱۸۰٬۰۰۰,۱۳۹۴,سفید,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1780,AZUyGAay,۳۷۷٬۰۰۰,۱۳۸۰,بژ,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
1781,AZUySYRt,۵۱٬۰۰۰,۱۳۹۷,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
1782,AZUyjiRS,۲۴۰٬۰۰۰,۱۳۹۰,خاکستری,۲۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۵ ماه
1783,AZV-4_6-,۵۰۰٬۰۰۰,۱۳۸۲,یشمی,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,ضربه‌خورده,۶ ماه
1784,AZV-7WnX,۲٬۵۰۰,۱۴۰۱,نقره‌ای,۵۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
1785,AZV-7avl,۱۰۵٬۰۰۰,۱۳۹۹,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
1786,AZV-8h3U,۲۲۰٬۰۰۰,۱۳۸۴,نقره‌ای,۱۷۵٬۰۰۰٬۰۰۰ تومان,تعویض شده,دوررنگ,سالم و پلمپ,۴ ماه
1787,AZV-HZrh,۲۶۰٬۰۰۰,۱۳۸۷,سفید صدفی,۲۳۹٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
1788,AZV-kvtL,۹۵٬۰۰۰,۱۳۹۸,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
1789,AZV-rFQI,۳۴۰٬۰۰۰,۱۳۹۰,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۵ ماه
1790,AZV-xpE-,۲۱۰٬۰۰۰,۱۳۸۷,خاکستری,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
1791,AZV25nmO,۳۰۰٬۰۰۰,۱۳۹۰,سفید,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
1792,AZV2HfHW,۲۷۵٬۰۰۰,۱۳۸۴,نقره‌ای,۱۶۰٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,تمام‌رنگ,ضربه‌خورده,۱۲ ماه
1793,AZV2WJw9,۷۲٬۰۰۰,۱۳۹۷,سفید,۳۸۴٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1794,AZV2k9ZQ,۸۸٬۰۰۰,۱۳۹۶,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1795,AZV2ldu6,۰,۱۴۰۱,سفید,۵۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1796,AZV2oUJy,۲۰۰٬۰۰۰,۱۳۸۵,خاکستری,۳۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1797,AZV2tcZG,۹۰٬۰۰۰,۱۳۹۸,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۷ ماه
1798,AZV2zUSR,۸۸٬۰۰۰,۱۳۸۹,سفید,۳۴۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1799,AZV61Kb3,۴۰۰٬۰۰۰,۱۳۸۵,خاکستری,۲۱۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1800,AZV62UpJ,۴۹۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۲۳٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,تمام‌رنگ,سالم و پلمپ,۱ ماه
1801,AZV664uj,۳۴۰٬۰۰۰,۱۳۸۷,مسی,۲۳۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1802,AZV6Egr3,۲۷٬۰۰۰,۱۴۰۰,سفید,۴۴۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1803,AZV6GLzD,۲۳٬۵۰۰,۱۴۰۱,سفید,۴۸۹٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۷ ماه
1804,AZV6lDdq,۱۹۹٬۹۹۹,۱۳۸۶,نوک‌مدادی,۲۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1805,AZV6ozSI,۳۰۰٬۰۰۰,۱۳۸۸,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
1806,AZVC2cOs,۵۰٬۳۰۰,۱۳۸۳,نقره‌ای,۱۸۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۵ ماه
1807,AZVC5qEI,۲۷۸٬۰۰۰,۱۳۸۵,نقره‌ای,۲۳۳٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
1808,AZVC8mvK,۱۸۰٬۰۰۰,۱۳۹۶,سفید,۳۳۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1809,AZVCGkFT,۱۴۲٬۰۰۰,۱۳۹۰,سفید,۳۰۵٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,
1810,AZVCHa2U,۳۰۰٬۰۰۰,۱۳۸۷,سفید,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
1811,AZVCN5r-,۳۰٬۰۰۰,۱۳۹۹,سفید,۴۴۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1812,AZVCPm-E,۲۵۶٬۰۰۰,۱۳۸۱,سرمه‌ای,۱۸۰٬۰۰۰٬۰۰۰ تومان,تعویض شده,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
1813,AZVCWols,۱۸۴٬۰۰۰,۱۳۹۵,مشکی,۳۲۹٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1814,AZVCjBPZ,۲۸۰٬۰۰۰,۱۳۸۶,خاکستری,۲۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1815,AZVCmTBW,۲۷۰٬۰۰۰,۱۳۸۳,خاکستری,۲۱۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1816,AZVCnahB,۳۰۰٬۰۰۰,۱۳۸۲,سفید,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۱ ماه
1817,AZVCqLZL,۲۲۱٬۰۰۰,۱۳۸۵,خاکستری,۲۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۲ ماه
1818,AZVG1QCp,۲۵۰٬۰۰۰,۱۳۸۶,بژ,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1819,AZVG3xt0,۹۹٬۰۰۰,۱۳۹۶,گیلاسی,۳۷۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1820,AZVG8naH,۲۸۰٬۰۰۰,۱۳۸۴,یشمی,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,ضربه‌خورده,۶ ماه
1821,AZVGGRDW,۳۸٬۰۰۰,۱۳۹۹,سفید,۴۲۲٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,,۴ ماه
1822,AZVGOPQX,۱۸۵٬۰۰۰,۱۳۹۱,سفید,۳۰۷٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1823,AZVGU9Yz,۳۷۰٬۰۰۰,۱۳۸۳,خاکستری,۲۰۶٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
1824,AZVGfbgT,۳۳۵٬۰۰۰,۱۳۸۳,نقره‌ای,۱۸۹٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1825,AZVGs9u3,۱۷۰,۱۴۰۱,سفید,۵۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1826,AZVK1tC3,۲۷۵٬۰۰۰,۱۳۸۳,نقره‌ای,۲۱۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1827,AZVKVr_w,۱۰۴٬۰۰۰,۱۳۹۵,سفید,۳۴۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
1828,AZVKm5zW,۲۷۵٬۰۰۰,۱۳۸۲,نقره‌ای,۲۵۹٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
1829,AZVKvXV6,۱۴۱٬۰۰۰,۱۳۸۹,سفید,۳۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1830,AZVNf8hv,۰,۱۴۰۱,سفید,۵۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
1831,AZVO0703,۸۶٬۰۰۰,۱۳۹۶,سفید صدفی,۳۸۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1832,AZVO28Je,۸۱٬۰۰۰,۱۳۹۵,سفید,۳۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
1833,AZVO3K70,۲۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۱ ماه
1834,AZVO3WOU,۲۰٬۰۰۰,۱۴۰۰,سفید,۴۴۰٬۰۰۰٬۰۰۰ تومان,,سالم و بی‌خط و خش,سالم و پلمپ,
1835,AZVO3YR-,۳۵۰٬۰۰۰,۱۳۸۴,نقره‌ای,۱۹۰٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,تمام‌رنگ,سالم و پلمپ,۹ ماه
1836,AZVO56Ym,۳۹۰٬۰۰۰,۱۳۸۲,خاکستری,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,ضربه‌خورده,۹ ماه
1837,AZVON0-E,۷۰٬۰۰۰,۱۳۹۸,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1838,AZVOSVb0,۱۹۰٬۰۰۰,۱۳۹۵,سفید,۳۵۱٬۵۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
1839,AZVOWNA8,۴۰۰٬۰۰۰,۱۳۸۴,نقره‌ای,۲۰۵٬۰۰۰٬۰۰۰ تومان,,تمام‌رنگ,سالم و پلمپ,
1840,AZVOcsTs,۱۲۵٬۰۰۰,۱۳۹۸,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۷ ماه
1841,AZVOnjlJ,۲۷۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
1842,AZVOrgKk,۳۵۰٬۰۰۰,۱۳۸۳,طوسی,۱۶۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1843,AZVOyIy1,۲۲۰٬۰۰۰,۱۳۸۲,آلبالویی,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1844,AZVS-F7M,۹۹٬۰۰۰,۱۳۹۷,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
1845,AZVS2mWB,۳۰۰٬۰۰۰,۱۳۸۵,نوک‌مدادی,۲۲۳٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
1846,AZVS4ciz,۴۴٬۰۰۰,۱۴۰۰,نقره‌ای,۵۰۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1847,AZVSEd6Q,۲۵۰٬۰۰۰,۱۳۸۲,نوک‌مدادی,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1848,AZVSFItH,۹۰٬۰۰۰,۱۳۹۷,سفید,۴۰۷٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1849,AZVSFsKj,۱۱۰٬۰۰۰,۱۳۹۶,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۱ ناحیه,سالم و پلمپ,۱ ماه
1850,AZVS_UOt,۴٬۰۰۰,۱۳۹۹,سفید,۴۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۷ ماه
1851,AZVSoXX1,۱۳۵٬۰۰۰,۱۳۹۶,خاکستری,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
1852,AZVSslxb,۵۹٬۰۰۰,۱۳۹۹,مشکی,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1853,AZVWEjS_,۲۸۹٬۰۰۰,۱۳۸۸,نوک‌مدادی,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1854,AZVWMYDx,۱۳۴٬۰۰۰,۱۳۸۸,آلبالویی,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1855,AZVWPgIt,۲۹۰٬۰۰۰,۱۳۸۳,نقره‌ای,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۲ ماه
1856,AZVWYWsR,۴۱٬۰۰۰,۱۴۰۰,سفید,۴۳۵٬۰۰۰٬۰۰۰ تومان,,سالم و بی‌خط و خش,سالم و پلمپ,
1857,AZVWmONO,۳۸۰٬۰۰۰,۱۳۸۴,بژ,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۰ ماه
1858,AZVWpp2g,۳۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1859,AZVa-do3,۰,۱۴۰۱,سفید,۵۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1860,AZVa3Ddw,۳۲۴٬۰۰۰,۱۳۸۶,نوک‌مدادی,۲۶۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
1861,AZVa4NTX,۹۵٬۰۰۰,۱۳۹۴,آبی,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1862,AZVa5He-,۳۱۰٬۰۰۰,۱۳۸۴,نقره‌ای,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
1863,AZVaAClE,۳۳۷٬۰۰۰,۲۰۰۵,خاکستری,۲۵۵٬۰۰۰٬۰۰۰ تومان,تعویض شده,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
1864,AZVaIEJc,۲۰۰٬۰۰۰,۱۳۸۶,خاکستری,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1865,AZVaJOOz,۱۲۵٬۰۰۰,۱۳۹۶,سفید,۳۲٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1866,AZVaY8lC,۴۲٬۰۰۰,۱۴۰۰,سفید,۱۱۱٬۱۱۱٬۱۱۱ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1867,AZVamRTI,۱۳۵٬۰۰۰,۱۳۹۴,سفید,۳۳۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1868,AZVamvt9,۳۴۱٬۰۰۰,۱۳۸۷,خاکستری,۲۹۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱ ماه
1869,AZVao9Aq,۹۹٬۰۰۰,۱۳۹۹,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
1870,AZVaoZjC,۵۵٬۰۰۰,۱۳۹۹,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
1871,AZVe0ITz,۵۵٬۰۰۰,۱۳۹۹,سفید,۴۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
1872,AZVe44AE,۱۰۰٬۰۰۰,۱۳۹۱,سفید,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,,۶ ماه
1873,AZVe9g_n,۸۳٬۰۰۰,۱۳۹۸,خاکستری,۴۰۳٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1874,AZVeaAwr,۲۱۷٬۳۰۰,۱۳۸۹,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
1875,AZVecQQs,۳۰۰٬۰۰۰,۱۳۸۹,سفید,۳۰۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
1876,AZVetynV,۳۴۴٬۰۰۰,۱۳۸۲,مشکی,۱۷۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۵ ماه
1877,AZViK1VV,۹۷٬۵۱۸,۱۳۹۴,بادمجانی,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۸ ماه
1878,AZViKQaY,۲۹۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1879,AZViMQBG,۱۴۰٬۰۰۰,۱۳۹۰,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
1880,AZViZn8s,۱۷۰٬۰۰۰,۱۳۹۰,سفید,۳۱۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1881,AZVib-Q0,۳۰۰٬۰۰۰,۱۳۸۷,سفید,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
1882,AZVicXOo,۱٬۰۰۰,۱۳۹۸,آبی,۵۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
1883,AZVimg6u,۱۲,۱۴۰۱,سفید,۵٬۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1884,AZVmGr3m,۱۹۳٬۰۰۰,۱۳۹۰,مشکی,۲۹۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
1885,AZVmZSMt,۳۸۰٬۰۰۰,۱۳۸۴,نقرآبی,۱۵۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۸ ماه
1886,AZVmbywQ,۲۳۹٬۰۰۰,۱۳۸۹,خاکستری,۲۸۸٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
1887,AZVmrneZ,۱۱۵٬۰۰۰,۱۳۹۵,خاکستری,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
1888,AZVmvkur,۱۰۰٬۰۰۰,۱۳۹۸,سفید,۳۸۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
1889,AZVq7zax,۸۵٬۰۰۰,۱۳۹۶,سفید,۳۴۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۱ ماه
1890,AZVq8TWU,۷۵٬۰۰۰,۱۳۹۷,سفید,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
1891,AZVqE9Gt,۹۱٬۶۰۰,۱۳۹۹,سفید صدفی,۴۰۷٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
1892,AZVqZhVG,۱۵۰٬۰۰۰,۱۳۸۱,سفید,۲۹۹٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1893,AZVqdb3G,۹۶٬۰۰۰,۱۳۹۷,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
1894,AZVqp679,۸۴٬۰۰۰,۱۳۹۸,سفید,۴۰۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
1895,AZVquXHT,۲۷۸٬۰۰۰,۱۳۸۵,سفید,۲۳۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
1896,AZVqy-mt,۲۵۳٬۰۰۰,۱۳۸۹,سفید,۲۷۲٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۷ ماه
1897,AZVu-Quu,۳۶۰٬۰۰۰,۱۳۸۳,بژ,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
1898,AZVu2fLW,۲۱۰٬۰۰۰,۱۳۸۹,مشکی,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
1899,AZVu5G0T,۱۹۲٬۰۰۰,۱۳۸۹,سفید,۲۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
1900,AZVuGAE3,۲۴۰٬۰۰۰,۱۳۸۵,نقره‌ای,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۷ ماه
1901,AZVuI_GB,۳۵٬۰۰۰,۱۳۹۹,سفید صدفی,۴۳۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
